filename,ids,figs,needs.pooling,is.KM,pngfiles,from SLE,years
Al-Arfaj-2009-fig2-summ.csv,Al-Arfaj_2009,fig2,No,No,Al-Arfaj-2009-fig2.png,y,
Alonso-2011-fig1.csv,Alonso_2011,fig1,No,Yes,Alonso-2011-fig1.png,,
Appenzeller-2004-fig2.csv,Appenzeller_2004,fig2,No,Yes,Appenzeller-2004-fig2.png,,
Artim-Esen-2014-fig1-cluster1.csv,Artim-Esen_2014,fig1,Yes,Yes,Artim-Esen-2014-fig1.png,,
Artim-Esen-2014-fig1-cluster2.csv,Artim-Esen_2014,fig1,Yes,Yes,Artim-Esen-2014-fig1.png,,
Artim-Esen-2014-fig1-cluster3.csv,Artim-Esen_2014,fig1,Yes,Yes,Artim-Esen-2014-fig1.png,,
Artim-Esen-2014-fig1-cluster4.csv,Artim-Esen_2014,fig1,Yes,Yes,Artim-Esen-2014-fig1.png,,
Artim-Esen-2014-fig1-cluster5.csv,Artim-Esen_2014,fig1,Yes,Yes,Artim-Esen-2014-fig1.png,,
Ballou-1982-fig2-summ.csv,Ballou_1982,fig2,No,No,Ballou-1982-fig2.png,y,
Ballou-1982-fig3-summ.csv,Ballou_1982,fig3,No,No,Ballou-1982-fig3.png,y,
Bartels-2014-fig2.csv,Bartels_2014,fig2,No,Yes,Bartels-2014-fig2.png,y,
Bellomio-2000-fig3.csv,Bellomio_2000,fig3,No,Yes,Bellomio-2000-fig3.png,,
Blanco-1998-fig1.csv,Blanco_1998,fig1,No,Yes,Blanco-1998-fig1.png,n,n
Bokemeyer-1984-fig2-summ.csv,Bokemeyer_1984,fig2,No,No,Bokemeyer-1984-fig2.png,,
Breban-1991-fig2-summ.csv,Breban_1991,fig2,No,No,Breban-1991-fig2.png,,
Bujan-2003-fig2-female.csv,Bujan_2003,fig2,Yes,Yes,Bujan-2003-fig2.png,,n
Bujan-2003-fig2-male.csv,Bujan_2003,fig2,Yes,Yes,Bujan-2003-fig2.png,,n
Campbell-2008-fig1.csv,Campbell_2008,fig1,No,Yes,Campbell-2008-fig1.png,y,n
Cardoso-2008-fig1-sdi3less.csv,Cardoso_2008,fig1,Yes,Yes,Cardoso-2008-fig1.png,,n
Cardoso-2008-fig1-sdi3plus.csv,Cardoso_2008,fig1,Yes,Yes,Cardoso-2008-fig1.png,,n
Cervera-2003-fig1-summ.csv,Cervera_2003,fig1,No,No,Cervera-2003-fig1.png,,
Cohen-1992-fig1-summ.csv,Cohen_1992,fig1,No,No,Cohen-1992-fig1.png,y,
Doria-2006-fig1-summ.csv,Doria_2006,fig1,No,No,Doria-2006-fig1.png,y,
Drenkard-1996-fig7-noRemission.csv,Drenkard_1996,fig7,Yes,Yes,Drenkard-1996-fig7.png,y,
Drenkard-1996-fig7-remission.csv,Drenkard_1996,fig7,Yes,Yes,Drenkard-1996-fig7.png,y,
Estes-1971 fig2-CC-summ.csv,Estes_1971,fig2,Yes,No,Estes-1971 fig2.png,y,
Estes-1971 fig2-CPMC-summ.csv,Estes_1971,fig2,Yes,No,Estes-1971 fig2.png,y,
Estes-1971 fig2-JHH-summ.csv,Estes_1971,fig2,Yes,No,Estes-1971 fig2.png,y,
Fatemi-2014-fig1-summ.csv,Fatemi_2014,fig1,No,No,Fatemi-2014-fig1.png,y,
Feng-1982-fig2-summ.csv,Feng_1982,fig2,No,No,Feng-1982-fig2.png,y,
Fernandez-2007-fig1-black.csv,Fernandez_2007,fig1,Yes,Yes,Fernandez-2007-fig1.png,,
Fernandez-2007-fig1-blue.csv,Fernandez_2007,fig1,Yes,Yes,Fernandez-2007-fig1.png,,
Fernandez-2007-fig1-green.csv,Fernandez_2007,fig1,Yes,Yes,Fernandez-2007-fig1.png,,
Fernandez-2007-fig1-red.csv,Fernandez_2007,fig1,Yes,Yes,Fernandez-2007-fig1.png,,
Flower-2012-fig2-norenal.csv,Flower_2012,fig2,Yes,Yes,Flower-2012-fig2.png,,
Flower-2012-fig2-renal.csv,Flower_2012,fig2,Yes,Yes,Flower-2012-fig2.png,,
Folomeev-1990-fig1-summ-MEN ONLY.csv,Folomeev_1990,fig1,No,No,Folomeev-1990-fig1 MEN ONLY.png,,
Foocharoen-2011-fig2.csv,Foocharoen_2011,fig2,No,Yes,Foocharoen-2011-fig2.png,,n
Freire-2009-fig1.csv,Freire_2009,fig1,No,Yes,Freire-2009-fig1.png,,n
Fries-1975-summ.csv,Fries_1975,NA,No,No,Fries-1975.png,y,
Funauchi-2007a-fig1-groupA.csv,Funauchi_2007a,fig1,No,Yes,NA,y,
Funauchi-2007b-fig1-groupB.csv,Funauchi_2007b,fig1,No,Yes,NA,y,
Funauchi-2007c-fig1-groupC.csv,Funauchi_2007c,fig1,No,Yes,NA,y,
Ginzler-1982-fig3-noPsychosis-summ.csv,Ginzler_1982,fig3,Yes,No,Ginzler-1982-fig3.png,,
Ginzler-1982-fig3-noSeizure-summ.csv,Ginzler_1982,fig3,Yes,No,Ginzler-1982-fig3.png,,
Ginzler-1982-fig3-psychosis-summ.csv,Ginzler_1982,fig3,Yes,No,Ginzler-1982-fig3.png,,
Ginzler-1982-fig3-seizure-summ.csv,Ginzler_1982,fig3,Yes,No,Ginzler-1982-fig3.png,,
Gripenberg-1991-fig1.csv,Gripenberg_1991,fig1,No,Yes,Gripenberg-1991-fig1.png,y,
Halberg-1991-SLE fig2.csv,Halberg_1991,fig2,No,Yes,Halberg-1991-SLE fig2.png,,
