"","armID","pubID","number","Lag","year","surv_perc","shape","scale"
"1","Alamanos_2003","Alamanos_2003",185,1,5,96.2,0.0345736819055682,2.7976106561106
"2","Alamanos_2003","Alamanos_2003",185,1,10,87.4,0.0345736819055682,2.7976106561106
"3","AlSaleh_2008","AlSaleh_2008",151,6.7,5,94,0.0856515469446624,6.75202942239156
"4","canoso_1974","canoso_1974",70,6.95,5,75,0.739992545333119,14.4091784851916
"5","canoso_1974","canoso_1974",70,6.95,10,58,0.739992545333119,14.4091784851916
"6","Chang_1995_male","Chang_1995",61,6.95,1,84,0.0361092002532327,1.03706134838601e-34
"7","Chang_1995_male","Chang_1995",61,6.95,5,76,0.0361092002532327,1.03706134838601e-34
"8","Chang_1995_male","Chang_1995",61,6.95,10,75,0.0361092002532327,1.03706134838601e-34
"9","Chen_2006","Chen_2006",50,0,1,98,1.10164769696299,32.4410687157989
"10","Chen_2006","Chen_2006",50,0,5,86,1.10164769696299,32.4410687157989
"11","Chen_2006","Chen_2006",50,0,10,76,1.10164769696299,32.4410687157989
"12","Chen_2006","Chen_2006",50,0,15,68,1.10164769696299,32.4410687157989
"13","Devina_1998","Devina_1998",104,9.29,10,63.4,4.23907352576831,22.9695419469905
"14","Fessel_1974","Fessel_1974",74,0,5,90,1.19040397685535,33.1108538462117
"15","Gibson_1975","Gibson_1975",80,0,5,84.6,1.43621385942226,17.367860372691
"16","Gibson_1975","Gibson_1975",80,0,10,63.6,1.43621385942226,17.367860372691
"17","Gomez_2006","Gomez_2006",350,6.95,5,99,0.0348222879110844,2.78663577278203
"18","Grigor_1978","Grigor_1978",50,7.7,5,98,7.69786454086006,21.0250588172042
"19","Grigor_1978","Grigor_1978",50,7.7,10,76.7,7.69786454086006,21.0250588172042
"20","Gudmundsson_1990","Gudmundsson_1990",76,0,5,84,0.511007109882108,152.556247713691
"21","Gudmundsson_1990","Gudmundsson_1990",76,0,10,78,0.511007109882108,152.556247713691
"22","Hart_1983","Hart_1983",107,0,5,96,0.948031441515624,145.95630594989
"23","Hohmeister_1978","Hohmeister_1978",70,7.7,5,98,7.69786454086006,21.0250588172042
"24","Hohmeister_1978","Hohmeister_1978",70,7.7,10,76.7,7.69786454086006,21.0250588172042
"25","Jacobsen_1999","Jacobsen_1999",513,0,1,97,0.983513360136036,39.505240038662
"26","Jacobsen_1999","Jacobsen_1999",513,0,5,91,0.983513360136036,39.505240038662
"27","Jacobsen_1999","Jacobsen_1999",513,0,10,76,0.983513360136036,39.505240038662
"28","Jacobsen_1999","Jacobsen_1999",513,0,15,64,0.983513360136036,39.505240038662
"29","Joo_2015","Joo_2015",996,0,5,97.6,2.21988066082536,26.6853141810736
"30","Joo_2015","Joo_2015",996,0,10,89.3,2.21988066082536,26.6853141810736
"31","Kardaszewicz_1985","Kardaszewicz_1985",316,0,10,80.7,-1.04425459825209,2.28890730064701
"32","Kardaszewicz_1985","Kardaszewicz_1985",316,0,15,86.9,-1.04425459825209,2.28890730064701
"33","KASITANON_2002","KASITANON_2002",349,6.95,5,84,0.207564192238204,1.17573534489441
"34","KASITANON_2002","KASITANON_2002",349,6.95,10,74.9,0.207564192238204,1.17573534489441
"35","Kim_1999","Kim_1999",544,4.2,1,97.9,0.0579388332565466,0.00218690103737512
"36","Kim_1999","Kim_1999",544,4.2,5,93.7,0.0579388332565466,0.00218690103737512
"37","Malaviya_A_1987","Malaviya A_1987",181,6.95,5,67.7,0.413675877917559,2.38680701970588
"38","Malaviya_A_1987","Malaviya A_1987",181,6.95,10,49.8,0.413675877917559,2.38680701970588
"39","Nossent_1998","Nossent_1998",90,0,5,75,0.745840319519347,26.6611664487779
"40","Nossent_1998","Nossent_1998",90,0,10,62,0.745840319519347,26.6611664487779
"41","Nossent_1998","Nossent_1998",90,0,15,52,0.745840319519347,26.6611664487779
"42","Pamuk_2016","Pamuk_2016",331,5.7,5,94.5,0.7428988878783,135.869163494069
"43","Pamuk_2016","Pamuk_2016",331,5.7,10,89.9,0.7428988878783,135.869163494069
"44","Paton_N_1996","Paton N_1996",102,6.95,1,93,0.0524924130635428,1.53145437110187e-16
"45","Paton_N_1996","Paton N_1996",102,6.95,5,86,0.0524924130635428,1.53145437110187e-16
"46","Paton_N_1996","Paton N_1996",102,6.95,10,70,0.0524924130635428,1.53145437110187e-16
"47","Pistiner_1991","Pistiner_1991",195,0,5,97,1.59535324954292,46.4350197861745
"48","Pistiner_1991","Pistiner_1991",195,0,10,93,1.59535324954292,46.4350197861745
"49","Pistiner_1991","Pistiner_1991",195,0,15,83.2,1.59535324954292,46.4350197861745
"50","Urowitz_MB_1976","Urowitz MB_1976",81,0,1,94,0.862814704855202,23.9901113176319
"51","Urowitz_MB_1976","Urowitz MB_1976",81,0,5,75,0.862814704855202,23.9901113176319
"52","Urowitz_MB_1976","Urowitz MB_1976",81,0,10,63,0.862814704855202,23.9901113176319
"53","Urowitz_MB_1976","Urowitz MB_1976",81,0,15,53,0.862814704855202,23.9901113176319
"54","WILLIAMS_1998","WILLIAMS_1998",57,0,5,92,1.13059855581974,45.005914011677
"55","Xie_1998","Xie_1998",576,0,1,93,0.858791882913611,20.7311441466534
"56","Xie_1998","Xie_1998",576,0,5,73,0.858791882913611,20.7311441466534
"57","Xie_1998","Xie_1998",576,0,10,60,0.858791882913611,20.7311441466534
"58","Yee_2015","Yee_2015",382,0,5,89.9,1.19308708597166,32.6815970089508
"59","Zitnan_1991","Zitnan_1991",388,6.95,5,92.2,3.02648066293599,25.6600773065778
"60","Zitnan_1991","Zitnan_1991",388,6.95,10,77.6,3.02648066293599,25.6600773065778
"61","Zitnan_1991","Zitnan_1991",388,6.95,15,53.4,3.02648066293599,25.6600773065778
