"","armID","pubID","number","Lag","year","surv_perc","deaths","f.up.months","n.deaths"
"1","Estes-D_1971_<_20","Estes-D_1971",44,1.3,5,68.6,NA,NA,NA
"2","Huang_1994","Huang_1994",137,1.3,5,76.3,19,56.4,26
"3","Isavea_1989_1","Isavea_1989",119,1.3,5,65.6,NA,NA,NA
"4","Isavea_1989_2","Isavea_1989",188,1.3,5,83.1,NA,NA,NA
"5","Isavea_1989_3","Isavea_1989",199,1.3,5,89.7,NA,NA,NA
"6","Lacks_1990","Lacks_1990",32,1.3,5,85.3,15.6,51.64,5
"7","Sato_2015","Sato_2015",37,4,5,90,5.4,38.4,2
"8","Takei_1997","Takei_1997",373,1.3,5,95.9,3.6,53.6,13
"9","Tan_2015","Tan_2015",64,1.3,5,98.4,1.5,48.5,1
"10","Tavangar-Rad_2014","Tavangar-Rad_2014",120,1.3,1,97,10,56,12
"11","Tavangar-Rad_2014","Tavangar-Rad_2014",120,1.3,5,89,10,56,12
