"","x"
"1","Estes-D_1971"
"2","Huang_1994"
"3","Isavea_1989"
"4","Lacks_1990"
"5","Sato_2015"
"6","Takei_1997"
"7","Tan_2015"
"8","Tavangar-Rad_2014"
"9","Gonzales_2005"
"10","Appenzeller_2005"
"11","Huong_1993"
"12","Hashkes_2010"
"13","Yu_2006"
"14","Lee_2013"
"15","Walravens_1976"
"16","Blancas-Galicia_2013"
"17","Caeiro_1981"
"18","Glidden_1983"
"19","Abujam_2016"
"20","Vachvanichsanong_2011"
"21","Lee_1987"
"22","Fatemi_2015"
"23","Abeles_1980"
"24","Meislin_1968"
"25","Hashimoto_1987"
"26","Reveille-Jd_1990"
"27","Wu-G_2014"
"28","Mok_2005"
